_RAJ2000,_DEJ2000,Star,RAJ2000,DEJ2000,o_Vmag,Vmag,e_Vmag,B-V,e_B-V,U-B,e_U-B,V-R,e_V-R,R-I,e_R-I,V-I,e_V-I,Nd,Omag,Emag,Jmag,Fmag,Nmag
118.975,-0.2808,99 438,07 55 54,-00 16 51,105,9.39799976348877,0.00139999995008111,-0.1550000011920929,0.000699999975040555,-0.7250000238418579,0.00139999995008111,-0.05900000035762787,0.000699999975040555,-0.08100000023841858,0.000699999975040555,-0.14100000262260437,0.0008999999845400453,87,9.109999656677246,9.359999656677246,9.25,9.380000114440918,9.479999542236328
119.0292,-0.3453,99 447,07 56 07,-00 20 43,70,9.416999816894531,0.0007999999797903001,-0.06700000166893005,0.0007999999797903001,-0.22499999403953552,0.00139999995008111,-0.03200000151991844,0.0007999999797903001,-0.04100000113248825,0.0007999999797903001,-0.07400000095367432,0.0010999999940395355,59,9.279999732971191,9.300000190734863,9.289999961853027,9.300000190734863,9.319999694824219
133.1458,-0.6633,100 241,08 52 35,-00 39 48,53,10.138999938964844,0.0010999999940395355,0.15700000524520874,0.000699999975040555,0.10100000351667404,0.0015999999595806003,0.07800000160932541,0.0005000000237487257,0.08500000089406967,0.0005000000237487257,0.16300000250339508,0.0007999999797903001,43,10.25,10.140000343322754,10.210000038146973,10.140000343322754,10.119999885559082
133.3125,-0.7247,100 162,08 53 15,-00 43 29,72,9.149999618530273,0.0012000000569969416,1.2760000228881836,0.0010999999940395355,1.496999979019165,0.0026000000070780516,0.6489999890327454,0.0006000000284984708,0.5529999732971191,0.000699999975040555,1.2029999494552612,0.0008999999845400453,53,10.710000038146973,8.359999656677246,9.8100004196167,8.289999961853027,7.559999942779541
133.325,-0.6919,100 267,08 53 18,-00 41 31,3,13.027000427246094,0.006899999920278788,0.48500001430511475,0.002300000051036477,-0.06199999898672104,0.013299999758601189,0.3070000112056732,0.007499999832361937,0.3019999861717224,0.004000000189989805,0.6079999804496765,0.004000000189989805,3,13.350000381469727,12.289999961853027,13.4399995803833,12.289999961853027,12.270000457763672
133.3292,-0.6861,100 269,08 53 19,-00 41 10,3,12.350000381469727,0.0035000001080334187,0.546999990940094,0.002899999963119626,-0.03999999910593033,0.014999999664723873,0.33500000834465027,0.0035000001080334187,0.3310000002384186,0.002899999963119626,0.6660000085830688,0.0017000000225380063,3,12.84000015258789,11.6899995803833,12.75,11.6899995803833,11.479999542236328
133.4,-0.6114,100 280,08 53 36,-00 36 41,58,11.798999786376953,0.0007999999797903001,0.49399998784065247,0.0008999999845400453,-0.0020000000949949026,0.00139999995008111,0.29499998688697815,0.0007999999797903001,0.29100000858306885,0.0007999999797903001,0.5879999995231628,0.0012000000569969416,47,12.069999694824219,11.319999694824219,11.84000015258789,11.289999961853027,11.0600004196167
133.4792,-0.5392,100 394,08 53 55,-00 32 21,9,11.383999824523926,0.00800000037997961,1.3170000314712524,0.004000000189989805,1.4570000171661377,0.008700000122189522,0.7049999833106995,0.002300000051036477,0.6359999775886536,0.0027000000700354576,1.340999960899353,0.003000000026077032,5,12.819999694824219,10.4399995803833,11.90999984741211,10.359999656677246,9.609999656677246
140.3417,2.7917,PG0918+029D,09 21 22,+02 47 30,19,12.272000312805176,0.002099999925121665,1.0440000295639038,0.003000000026077032,0.8209999799728394,0.0071000000461936,0.574999988079071,0.0015999999595806003,0.5350000262260437,0.0017999999690800905,1.1080000400543213,0.0017999999690800905,11,13.300000190734863,11.34000015258789,13.399999618530273,11.34000015258789,10.850000381469727
140.3667,2.7675,PG0918+029,09 21 28,+02 46 03,45,13.32699966430664,0.002400000113993883,-0.2709999978542328,0.002400000113993883,-1.0809999704360962,0.003000000026077032,-0.1289999932050705,0.0019000000320374966,-0.1589999943971634,0.005499999970197678,-0.2879999876022339,0.006300000008195639,27,12.680000305175781,13.359999656677246,13.449999809265137,13.359999656677246,12.989999771118164
140.3917,2.8003,PG0918+029B,09 21 34,+02 48 01,20,13.963000297546387,0.0034000000450760126,0.7649999856948853,0.007199999876320362,0.3659999966621399,0.01590000092983246,0.4169999957084656,0.0024999999441206455,0.3700000047683716,0.0044999998062849045,0.7870000004768372,0.00559999980032444,11,14.260000228881836,13.300000190734863,14.720000267028809,13.300000190734863,13.0600004196167
140.3958,2.7722,PG0918+029A,09 21 35,+02 46 20,29,14.489999771118164,0.0032999999821186066,0.5360000133514404,0.005799999926239252,-0.03200000151991844,0.009499999694526196,0.32499998807907104,0.0038999998942017555,0.335999995470047,0.007600000128149986,0.6610000133514404,0.008500000461935997,14,14.40999984741211,13.760000228881836,14.880000114440918,13.760000228881836,13.670000076293945
140.425,2.7772,PG0918+029C,09 21 42,+02 46 38,21,13.536999702453613,0.0020000000949949026,0.6309999823570251,0.00279999990016222,0.08699999749660492,0.004800000227987766,0.367000013589859,0.001500000013038516,0.3569999933242798,0.002199999988079071,0.722000002861023,0.00279999990016222,10,13.84000015258789,12.930000305175781,14.229999542236328,12.930000305175781,12.6899995803833
142.825,-13.4889,-12 2918,09 31 18,-13 29 20,13,10.067000389099121,0.0024999999441206455,1.5010000467300415,0.00279999990016222,1.1660000085830688,0.007499999832361937,1.0670000314712524,0.0038999998942017555,1.3179999589920044,0.002199999988079071,2.384999990463257,0.00419999985024333,9,12.079999923706055,9.329999923706055,10.970000267028809,9.260000228881836,8.4399995803833
146.2917,-3.0981,PG0942-029D,09 45 10,-03 05 53,1,13.706999778747559,0.0,0.5640000104904175,0.0,0.1289999932050705,0.0,0.3479999899864197,0.0,0.34299999475479126,0.0,0.6869999766349792,0.0,1,14.0600004196167,13.350000381469727,14.34000015258789,13.350000381469727,12.8100004196167
146.2917,-3.1714,PG0942-029A,09 45 10,-03 10 17,1,14.730999946594238,0.0,0.7829999923706055,0.0,0.33899998664855957,0.0,0.6100000143051147,0.0,0.47699999809265137,0.0,1.0809999704360962,0.0,1,15.319999694824219,14.170000076293945,15.829999923706055,14.170000076293945,13.420000076293945
